,,,,,,,,,,,,,,,,,,,,,
"□ 조립 리드타임 실적 집계 (HN5010 이후, 16년 5월 이후)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,기본정보,,,,,,,,,기타 정보,,,,계획,실적,,,,,,
,팀,세부공정,선종,프로젝트,블럭,Ass'y,PCG,PCG명,업체명,Weight,길이(L),폭(B),높이(H),계획L/T,착수,완료,실적L/T,,,,
,조립1팀,중조립,115K PC,HN5010,A22C,LB1A,AL3,RUDDER HORN,(유)예솔기업,,1.6 ,4.8 ,5.9 ,8 ,2016/5/28,2016/6/3,5 ,,,,HN5010
,조립1팀,중조립,115K PC,HN5010,A22C,LB1M,AL3,RUDDER HORN,(유)예솔기업,,1.6 ,4.8 ,5.9 ,8 ,2016/5/28,2016/6/3,5 ,,,,HN5013
,조립1팀,중조립,115K PC,HN5010,A22C,ET1A,AL3,RUDDER HORN,(유)예솔기업,,4.8 ,8.4 ,6.6 ,11 ,2016/6/4,2016/6/17,9 ,,,,HN5014
,조립1팀,중조립,115K PC,HN5010,A22C,SS4A,AL3,RUDDER HORN,(유)예솔기업,,9.3 ,9.9 ,5.3 ,15 ,2016/6/15,2016/6/28,10 ,,,,HN5015
,조립1팀,중조립,115K PC,HN5010,A22C,SS4M,AL3,RUDDER HORN,(유)예솔기업,,8.3 ,9.9 ,5.3 ,15 ,2016/6/16,2016/6/28,9 ,,,,HN5016
,조립1팀,중조립,115K PC,HN5010,A22C,ET2,AL3,RUDDER HORN,(유)예솔기업,,2.2 ,2.7 ,2.0 ,8 ,2016/6/23,2016/6/29,5 ,,,,HN5017
,조립1팀,중조립,115K PC,HN5010,A22C,ET1,AL3,RUDDER HORN,(유)예솔기업,,6.9 ,8.4 ,6.6 ,11 ,2016/6/17,2016/6/30,10 ,,,,HN5027
,조립1팀,중조립,115K PC,HN5010,B51P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,,12.0 ,20.4 ,7.4 ,12 ,2016/5/31,2016/6/15,11 ,,,,HN5028
,조립1팀,중조립,115K PC,HN5010,B51P,SS2,CS4,HOPPER (CURVE),(유)한울기업,,8.6 ,20.4 ,9.8 ,12 ,2016/6/1,2016/6/17,12 ,,,,HN5018
,조립1팀,중조립,115K PC,HN5010,B51S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,,12.0 ,20.4 ,7.4 ,12 ,2016/6/3,2016/6/16,9 ,,,,HN5031
,조립1팀,중조립,115K PC,HN5010,B51S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,,8.6 ,20.4 ,9.8 ,12 ,2016/6/2,2016/6/17,11 ,,,,HN5032
,조립1팀,중조립,115K PC,HN5010,B52P,HP2,CS4,HOPPER (CURVE),(유)예솔기업,,8.9 ,7.2 ,8.6 ,12 ,2016/6/8,2016/6/21,10 ,,,,HN5029
,조립1팀,중조립,115K PC,HN5010,B52P,HP1,CS4,HOPPER (CURVE),(유)예솔기업,,14.9 ,15.2 ,14.9 ,12 ,2016/6/8,2016/6/24,13 ,,,,HN5030
,조립1팀,중조립,115K PC,HN5010,B52S,HP2,CS4,HOPPER (CURVE),(유)예솔기업,,8.9 ,7.2 ,8.6 ,12 ,2016/6/11,2016/6/27,11 ,,,,HN5021
,조립1팀,중조립,115K PC,HN5010,B52S,HP1,CS4,HOPPER (CURVE),(유)예솔기업,,14.9 ,15.2 ,14.9 ,12 ,2016/6/11,2016/6/28,12 ,,,,HN5022
,조립1팀,중조립,115K PC,HN5010,E11C,BS2B,EB1,E/R D/BOTTOM,(유)예솔기업,,5.3 ,9.6 ,2.5 ,9 ,2016/5/20,2016/6/1,9 ,,,,HN5023
,조립1팀,중조립,115K PC,HN5010,E11C,BS2N,EB1,E/R D/BOTTOM,(유)예솔기업,,5.3 ,9.6 ,2.5 ,9 ,2016/5/20,2016/6/1,9 ,,,,HN5024
,조립1팀,중조립,115K PC,HN5010,E11C,SS2A,EB1,E/R D/BOTTOM,(유)대흥산업,,2.9 ,3.6 ,2.1 ,7 ,2016/6/8,2016/6/15,6 ,,,,HN5019
,조립1팀,중조립,115K PC,HN5010,E11C,SS2M,EB1,E/R D/BOTTOM,(유)대흥산업,,2.9 ,3.6 ,2.1 ,7 ,2016/6/8,2016/6/15,6 ,,,,HN5020
,조립1팀,중조립,115K PC,HN5010,E11C,TT1,EB1,E/R D/BOTTOM,(유)대흥산업,,21.1 ,9.7 ,2.6 ,13 ,2016/6/1,2016/6/23,16 ,,,,HN5025
,조립1팀,중조립,115K PC,HN5010,E12C,GR2,EB1,E/R D/BOTTOM,(유)예솔기업,,2.6 ,14.0 ,5.0 ,8 ,2016/5/25,2016/6/3,8 ,,,,HN5026
,조립1팀,중조립,115K PC,HN5010,E12C,SS3,EB1,E/R D/BOTTOM,(유)예솔기업,,6.0 ,16.3 ,2.7 ,15 ,2016/5/25,2016/6/3,8 ,,,,HN5033
,조립1팀,중조립,115K PC,HN5010,E12C,SS2,EB1,E/R D/BOTTOM,(유)예솔기업,,6.0 ,16.3 ,2.7 ,15 ,2016/5/25,2016/6/7,9 ,,,,HN5036
,조립1팀,중조립,115K PC,HN5010,E31P,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,,4.8 ,12.6 ,6.4 ,6 ,2016/6/7,2016/6/16,8 ,,,,DS5455
,조립1팀,중조립,115K PC,HN5010,E31S,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,,4.8 ,12.9 ,6.4 ,6 ,2016/6/7,2016/6/14,6 ,,,,DS5456
,조립1팀,중조립,115K PC,HN5010,E31S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,,8.4 ,21.6 ,4.9 ,10 ,2016/6/16,2016/6/30,11 ,,,,HN5041
,조립1팀,중조립,115K PC,HN5010,E32P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,,9.3 ,21.2 ,5.6 ,14 ,2016/6/15,2016/6/30,12 ,,,,DS5458
,조립1팀,중조립,115K PC,HN5010,S11P,LB1,CS2,S/SHELL (CURVE),(유)한울기업,,12.7 ,19.5 ,3.5 ,9 ,2016/6/1,2016/6/15,10 ,,,,HN5042
,조립1팀,중조립,115K PC,HN5010,S11S,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,,12.7 ,19.5 ,3.5 ,9 ,2016/6/11,2016/6/22,8 ,,,,
,조립1팀,대조립,115K PC,HN5010,E12C,,EB1,E/R D/BOTTOM,(유)한울기업-1,169.9 ,16.0 ,15.0 ,3.0 ,17 ,2016/6/7,2016/6/29,17 ,,,,
,조립1팀,대조립,115K PC,HN5010,E13C,,EB1,E/R D/BOTTOM,(유)한울기업,30.7 ,8.0 ,7.0 ,3.0 ,10 ,2016/6/13,2016/6/30,14 ,,,,
,조립1팀,대조립,115K PC,HN5010,E22P,,EL1,E/ROOM (L-TYPE),(유)예솔기업,30.3 ,16.0 ,13.0 ,5.0 ,10 ,2016/6/7,2016/6/20,10 ,,,,
,조립1팀,대조립,115K PC,HN5010,E22S,,EL1,E/ROOM (L-TYPE),(유)예솔기업,33.3 ,16.0 ,14.0 ,5.0 ,10 ,2016/6/7,2016/6/20,10 ,,,,
,조립1팀,대조립,115K PC,HN5010,E23P,,EL1,E/ROOM (L-TYPE),(유)예솔기업,10.2 ,8.0 ,4.0 ,5.0 ,10 ,2016/6/18,2016/6/30,9 ,,,,
,조립1팀,대조립,115K PC,HN5010,E23S,,EL1,E/ROOM (L-TYPE),(유)예솔기업,10.2 ,8.0 ,4.0 ,5.0 ,10 ,2016/6/18,2016/6/30,9 ,,,,
,조립2팀,중조립,115K PC,HN5010,A11C,ET1,AL2,STERN BOSS,(유)유로이엔지,, 2.4, 4.8, 0.0,5 ,2016/6/16,2016/6/22,5 ,,,,
,조립2팀,중조립,115K PC,HN5010,B11C,TT1,CB2,D.BOTTOM (CURVE),(유)해인산업,, 19.5, 11.0, 2.5,11 ,2016/6/8,2016/6/17,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,B11C,TT2,CB2,D.BOTTOM (CURVE),(유)해인산업,, 19.5, 11.1, 2.5,11 ,2016/6/8,2016/6/17,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,B12P,TT1,CB2,D.BOTTOM (CURVE),(유)해인산업,, 20.9, 15.2, 2.5,11 ,2016/6/13,2016/6/22,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,B12S,TT1,CB2,D.BOTTOM (CURVE),(유)세진기업,, 20.9, 15.2, 2.5,11 ,2016/6/14,2016/6/23,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,B13P,TT1,CB1,D.BOTTOM (FLAT),(유)세진기업,, 21.3, 15.2, 2.5,8 ,2016/6/15,2016/6/24,8 ,,,,
,조립2팀,중조립,115K PC,HN5010,B13S,TT1,CB1,D.BOTTOM (FLAT),(유)해인산업,, 21.3, 15.4, 2.5,8 ,2016/6/16,2016/6/27,8 ,,,,
