,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,MakingLT,Making_Co,Material,MemberCount,NO_Base,NO_SPOOL,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight,plan_MakingLT,plan_PaintingLT
0,하이에어,정상,C010B,10,조선물류,1,5,2408,23,부흥,CN,6,SN2126TC010BPP03B0,SN2126B7PU1702547,40,PP039A1103,0,14,B,제작지연,3B,T-6.35,FW,211.125,4,13
1,하이에어,정상,C010B,10,조선물류,0,1,1288,30,부흥,CN,2,SN2126TC010BPP03B0,SN2126B7PU1702548,30,PP039C010B,1,33,B,제작지연,3B,T-6.35,FW,89.411,30,11
2,하이에어,정상,C010B,10,조선물류,0,1,436,26,부흥,CN,2,SN2126T0C200PP0500,SN2126B7PU1702549,30,PP05RC010B,2,33,B,제작지연,50,T-6.35,FW,64.745,32,8
3,하이에어,정상,C010B,4,조선물류,1,7,5086,18,부흥,CN,8,SN2126TC010BPP03B0,SN2126B7PU1702550,40,PP039A1104,3,14,B,제작지연,3B,T-6.35,FW,139.27,17,15
4,하이에어,정상,C010B,4,조선물류,0,1,1596,30,부흥,CN,2,SN2126TC010BPP03B0,SN2126B7PU1702551,30,PP039C010B,4,33,B,제작지연,3B,T-6.35,FW,30.8,30,11
5,하이에어,정상,C010B,4,조선물류,0,1,618,26,부흥,CN,2,SN2126T0C200PP0500,SN2126B7PU1702552,30,PP05RC010B,5,33,B,제작지연,50,T-6.35,FW,19.8,32,8
6,하이에어,정상,C010B,2,조선물류,0,4,2706,55,성일SIM함안공장,CS,5,SN2126TC010BPP03B0,SN2126B7PU1119005,40,PP039C010B,6,53,B,제작지연,3B,S-80,AU,26.465,30,9
7,하이에어,정상,C010B,2,조선물류,0,4,6000,30,성일SIM함안공장,CS,5,SN2126TC010BPP03B0,SN2126B7PU1119006,40,PP039C010B,7,44,B,제작지연,3B,S-80,AU,60.99,30,9
8,하이에어,정상,C010B,2,조선물류,0,1,987,37,성일SIM함안공장,CS,2,SN2126T0C200PP0500,SN2126B7PU1119007,40,PP05RC010B,8,31,B,제작지연,50,S-80,AU,10.083,31,8
9,하이에어,정상,C010B,2,조선물류,0,2,1448,37,성일SIM함안공장,CS,4,SN2126T0C200PP0500,SN2126B7PU1119008,40,PP05RC010B,9,31,B,제작지연,50,S-80,AU,17.131,31,8
